\outl0\strokewidth0 \strokec2 stid,station_name,lat,lon,elev,begints,endts,iem_network\
JCT,Junction - Kimble County,30.5108,-99.7664,522,7/1/48 0:00,,TX_ASOS\
JDD,MINEOLA/QUITMAN,32.7422,-95.4965,132,5/25/04 0:00,,TX_ASOS\
JSO,JACKSONVILLE,31.87,-95.22,206,7/9/03 0:00,,TX_ASOS\
JWY,MIDLOTHIAN/WAXAC,32.4561,-96.9125,217,7/10/03 0:00,,TX_ASOS\
JXI,GILMER/FOX_STEPHENS_FIELD,32.7,-94.95,127,5/25/04 0:00,,TX_ASOS\
LBB,LUBBOCK INTL ARPT,33.6636,-101.8228,988,3/31/37 0:00,,TX_ASOS\
LBR,CLARKSVILLE,33.5932,-95.0636,134,2/8/02 0:00,3/26/17 0:00,TX_ASOS\
LBX,ANGLETON/LAKE JACKS,29.1086,-95.4621,8,7/14/89 0:00,,TX_ASOS\
LFK,LUFKIN/ANGELINA CO.,31.234,-94.75,88,8/1/48 0:00,,TX_ASOS\
LHB,HEARNE,30.87,-96.62,87,10/30/03 0:00,,TX_ASOS\
LLN,Levelland,33.5525,-102.3725,1066.5017,7/23/21 0:00,,TX_ASOS\
LNC,LANCASTER,32.5792,-96.719,153,9/3/03 0:00,,TX_ASOS\
LRD,LAREDO INTL AIRPORT,27.5438,-99.4615,155,1/1/43 0:00,,TX_ASOS\
LUD,DECATUR,33.2542,-97.5805,319,5/16/03 0:00,,TX_ASOS\
LUV,Lamesa,32.7563,-101.9202,911.5796,9/15/16 0:00,,TX_ASOS\
LVJ,Pearland Regional,29.5189,-95.2417,13.164371,11/1/98 0:00,,TX_ASOS\
LXY,Mexia Limestone,31.6412,-96.5145,166.28955,8/30/13 0:00,,TX_ASOS\
LZZ,Lampasas,31.1062,-98.1959,370.3,7/19/09 0:00,,TX_ASOS\
MAF,Midland Intl,31.9466,-102.2075,868.9406,6/1/30 0:00,,TX_ASOS\
MCJ,Houston Dunn,29.714,-95.395,22.525835,9/11/08 0:00,,TX_ASOS\
MDD,MIDLAND,32.0365,-102.101,854,10/27/04 0:00,,TX_ASOS\
MFE,MCALLEN/MILLER INTL,26.1758,-98.2386,33,12/31/72 0:00,,TX_ASOS\
MIU,Mustang Island 31,27.2917,-96.7367,0,5/13/10 0:00,10/23/13 0:00,TX_ASOS\
MKN,COMANCHE COUNTY/CITY ARPT,31.92,-98.6,423,10/5/04 0:00,,TX_ASOS\
MNZ,Hamilton,31.6659,-98.1486,395.9,12/7/07 0:00,,TX_ASOS\
MRF,Marfa,30.37,-104.02,1481,12/1/36 0:00,,TX_ASOS\
MWL,MINERAL WELLS MUNI,32.7816,-98.0602,296,3/9/48 0:00,,TX_ASOS\
MZG,Mustang Island A85A,27.7269,-96.1911,0,5/13/10 0:00,4/16/20 0:00,TX_ASOS\
NFW,FORT WORTH NAS,32.781,-97.4365,198,11/30/42 0:00,,TX_ASOS\
NGP,CORPUS CHRISTI NAS,27.6926,-97.2911,6,3/1/45 0:00,,TX_ASOS\
NMT,McMullen,28.2361,-98.7242,89.30641,2/23/05 0:00,,TX_ASOS\
NOG,ORANGE GROVE,27.9011,-98.0517,78,1/1/48 0:00,,TX_ASOS\
NQI,KINGSVILLE NAS,27.5072,-97.8097,15,3/1/45 0:00,,TX_ASOS\
OCH,NACOGDOCHES (AWOS),31.5778,-94.7094,108,2/26/92 0:00,,TX_ASOS\
ODO,ODESSA-SCHLEMEYER FLD (WAS E02),31.9206,-102.3867,915,12/1/98 0:00,,TX_ASOS\
OPM,North Padre Island,26.8328,-96.94,3,9/20/10 0:00,10/31/14 0:00,TX_ASOS\
ORG,Orange,30.0692,-93.8036,4,8/31/05 0:00,,TX_ASOS\
OSA,MOUNT PLEASANT AIRPORT,33.0956,-94.9614,111,2/13/03 0:00,,TX_ASOS\
OZA,Ozona,30.7353,-101.203,725.7,11/18/09 0:00,,TX_ASOS\
PEQ,PECOS,31.38,-103.51,796,9/10/42 0:00,,TX_ASOS\
PEZ,Pleasanton,28.9542,-98.52,131.1,1/19/07 0:00,,TX_ASOS\
PIL,PORT ISABEL-CAMERON COUNTY APT,26.1597,-97.3378,6,11/1/57 0:00,,TX_ASOS\
PKV,PORT_LAVACA,28.654,-96.681,9,5/1/04 0:00,,TX_ASOS\
PPA,PAMPA,35.613,-100.9962,1050,11/19/03 0:00,,TX_ASOS\
PRS,Presidio Lely,29.6342,-104.3615,888.8645,7/2/13 0:00,,TX_ASOS\
PRX,PARIS/COX FIELD,33.6366,-95.4508,167,5/17/44 0:00,,TX_ASOS\
PSN,PALESTINE,31.7797,-95.7063,129,11/1/47 0:00,,TX_ASOS\
PSX,PALACIOS MUNICIPAL,28.73,-96.25,5,4/6/40 0:00,,TX_ASOS\
