OBJECTID,GID,CMPTRL_NBR,CNTY_NM,DIST_NM,DPS_NBR,CNTY_FIPS,CNTY_NBR,DIST_NBR,MSA1990,MSA2000,MSA2010,GRID_OP,CREATE_DT,CREATE_NM,EDIT_DT,EDIT_NM,Shape__Area,Shape__Length,ERCOT_Weather_Region
90,164,209,Shackelford,Abilene,209,48417,209,8,N,N,N,,,,,,3361289435,231850.5631,North Central
91,165,127,Jones,Abilene,127,48253,128,8,Y,Y,Y,,,,,,3436990824,235956.5938,West
92,166,215,Stephens,Brownwood,215,48429,215,23,N,N,N,,,,,,3383226318,232516.8147,North Central
93,167,76,Fisher,Abilene,76,48151,77,8,N,N,N,,,,,,3315174540,230236.671,West
94,168,17,Borden,Abilene,17,48033,17,8,N,N,N,,,,,,3327116922,230909.938,Far West
95,169,208,Scurry,Abilene,208,48415,208,8,N,N,N,,,,,,3340325199,230509.584,West
219,170,58,Dawson,Lubbock,58,48115,58,5,N,N,N,,,,,,3311651602,230267.5949,Far West
220,171,83,Gaines,Lubbock,83,48165,84,5,N,N,N,,,,,,5517624863,306697.3034,x
221,172,230,Upshur,Atlanta,230,48459,230,19,Y,Y,Y,,,,,,2175255331,217887.4352,x
222,173,155,Marion,Atlanta,158,48315,155,19,N,N,N,,,,,,1544960692,238700.018,x
223,174,182,Palo Pinto,Fort Worth,182,48363,182,2,N,N,N,,,,,,3618700180,245046.6409,North Central
224,175,184,Parker,Fort Worth,184,48367,184,2,Y,Y,Y,,,,,,3328887766,231043.4832,North Central
170,176,220,Tarrant,Fort Worth,220,48439,220,2,Y,Y,Y,,,,,,3320358526,230694.5772,North Central
171,177,57,Dallas,Dallas,57,48113,57,18,Y,Y,Y,,,,,,3336760771,230873.4335,North Central
190,178,199,Rockwall,Dallas,199,48397,199,18,Y,Y,Y,,,,,,547404623.9,93641.18749,North Central
191,179,190,Rains,Paris,190,48379,190,1,N,N,N,,,,,,950609226.9,162255.2545,East
192,180,250,Wood,Tyler,250,48499,250,10,N,N,N,,,,,,2555659113,266075.8121,x
193,181,32,Camp,Atlanta,32,48063,32,19,N,N,N,,,,,,750370974.8,168997.7009,x
194,182,217,Stonewall,Abilene,217,48433,217,8,N,N,N,,,,,,3438723343,234698.2602,North
195,183,104,Haskell,Abilene,104,48207,105,8,N,N,N,,,,,,3374618600,232484.1585,North
196,184,132,Kent,Abilene,132,48263,132,8,N,N,N,,,,,,3302304110,229644.4522,North
197,185,224,Throckmorton,Wichita Falls,224,48447,224,3,N,N,N,,,,,,3393489319,233059.0728,North Central
198,186,85,Garza,Lubbock,85,48169,86,5,N,N,N,,,,,,3322801521,230001.499,North
199,187,153,Lynn,Lubbock,153,48305,153,5,N,N,Y,,,,,,3310429687,230252.5406,x
200,188,252,Young,Wichita Falls,252,48503,252,3,N,N,N,,,,,,3450025362,235318.4008,North Central
201,189,223,Terry,Lubbock,223,48445,223,5,N,N,N,,,,,,3301207159,229751.907,x
202,190,251,Yoakum,Lubbock,251,48501,251,5,N,N,N,,,,,,2966319207,218057.8746,x
203,191,34,Cass,Atlanta,34,48067,34,19,N,N,N,,,,,,3550547594,332615.4929,x
204,192,43,Collin,Dallas,43,48085,43,18,Y,Y,Y,,,,,,3286101862,233365.0245,North Central
205,193,61,Denton,Dallas,61,48121,61,18,Y,Y,Y,,,,,,3530307973,237983.8946,North Central
206,194,249,Wise,Fort Worth,249,48497,249,2,Y,Y,Y,,,,,,3423302128,234100.195,North Central
207,195,112,Hopkins,Paris,112,48223,113,1,N,N,N,,,,,,2939273128,280000.4485,East
